0.61,92.48
3.6,92
6.59,91.33
9.58,90.53
12.57,89.62
15.56,88.63
18.55,87.61
21.54,86.59
24.53,85.6
27.52,84.67
30.51,83.82
33.5,83.02
36.49,82.26
39.48,81.54
42.47,80.85
45.47,80.18
48.46,79.53
51.45,78.89
54.44,78.26
57.43,77.63
60.42,77
63.41,76.4
66.4,75.81
69.39,75.23
72.38,74.66
75.37,74.09
78.36,73.52
81.35,72.95
84.34,72.36
87.33,71.77
90.32,71.16
93.31,70.53
96.3,69.9
99.29,69.26
102.28,68.62
105.27,68
108.26,67.38
111.25,66.79
114.24,66.22
117.24,65.69
120.23,65.18
123.22,64.71
126.21,64.27
129.2,63.84
132.19,63.44
135.18,63.04
138.17,62.65
141.16,62.26
144.15,61.87
147.14,61.47
150.13,61.07
153.12,60.65
156.11,60.23
159.1,59.81
162.09,59.4
165.08,58.99
168.07,58.6
171.06,58.22
174.05,57.87
177.04,57.53
180.03,57.22
183.02,56.94
186.01,56.67
189,56.42
191.99,56.18
194.99,55.95
197.98,55.72
200.97,55.49
203.96,55.25
206.95,55.01
209.94,54.75
212.93,54.49
215.92,54.22
218.91,53.95
221.9,53.68
224.89,53.42
227.88,53.15
230.87,52.9
233.86,52.66
236.85,52.43
239.84,52.22
242.83,52.02
245.82,51.82
248.81,51.64
251.8,51.47
254.79,51.31
257.78,51.16
260.77,51.01
263.76,50.87
266.75,50.74
269.75,50.62
272.74,50.5
275.73,50.39
278.72,50.29
281.71,50.2
284.7,50.11
287.69,50.04
290.68,49.97
293.67,49.91
296.66,49.86
299.65,49.82
302.64,49.78
305.63,49.76
308.62,49.75
311.61,49.74
314.6,49.74
317.59,49.74
320.58,49.75
323.57,49.76
326.56,49.77
329.55,49.78
332.54,49.8
335.53,49.82
338.52,49.84
341.51,49.88
344.51,49.93
347.5,49.99
350.49,50.06
353.48,50.16
356.47,50.27
359.46,50.4
362.45,50.55
365.44,50.72
368.43,50.91
371.42,51.12
374.41,51.36
377.4,51.62
380.39,51.9
383.38,52.21
386.37,52.54
389.36,52.9
392.35,53.28
395.34,53.68
398.33,54.11
401.32,54.57
404.31,55.06
407.3,55.58
410.29,56.13
413.28,56.71
416.27,57.33
419.27,57.99
422.26,58.69
425.25,59.41
428.24,60.16
431.23,60.92
434.22,61.69
437.21,62.46
440.2,63.23
443.19,63.99
446.18,64.72
449.17,65.44
452.16,66.14
455.15,66.82
458.14,67.48
461.13,68.13
464.12,68.75
467.11,69.35
470.1,69.94
473.09,70.5
476.08,71.04
479.07,71.56
482.06,72.06
485.05,72.53
488.04,72.98
491.03,73.41
494.03,73.81
497.02,74.2
500.01,74.56
503,74.9
505.99,75.21
508.98,75.5
511.97,75.76
514.96,76.01
517.95,76.24
520.94,76.46
523.93,76.68
526.92,76.91
529.91,77.14
532.9,77.38
535.89,77.64
538.88,77.93
541.87,78.23
544.86,78.54
547.85,78.87
550.84,79.21
553.83,79.57
556.82,79.94
559.81,80.32
562.8,80.71
565.79,81.11
568.79,81.52
571.78,81.95
574.77,82.39
577.76,82.83
580.75,83.27
583.74,83.7
586.73,84.12
589.72,84.51
592.71,84.88
595.7,85.22
598.69,85.53
601.68,85.81
604.67,86.06
607.66,86.29
610.65,86.49
613.64,86.67
616.63,86.83
619.62,86.98
622.61,87.11
625.6,87.23
628.59,87.33
631.58,87.41
634.57,87.48
637.56,87.54
640.55,87.59
643.55,87.64
646.54,87.68
649.53,87.72
652.52,87.76
655.51,87.81
658.5,87.86
661.49,87.91
664.48,87.97
667.47,88.03
670.46,88.1
673.45,88.16
676.44,88.23
679.43,88.3
682.42,88.36
685.41,88.43
687.79,87.65
693.55,88.4
699.31,89.16
705.08,89.93
710.84,90.65
716.6,91.31
722.36,91.89
728.12,92.35
733.89,92.66
739.65,92.81
745.41,92.76
